N,variant,median_percentile_mean,median_percentile_sem,wilcoxon_p_vs_chance,sig,chance_median_percentile
200,matched,0.14807692307692305,0.010120087626597888,0.0001220703125,***,0.5
500,matched,0.07253846153846154,0.004772538141867684,0.0001220703125,***,0.5
1000,matched,0.04653846153846154,0.0031917670224874285,0.0001220703125,***,0.5
2000,matched,0.032692307692307694,0.0026580118736220094,0.0001220703125,***,0.5
5000,matched,0.020815384615384607,0.001726893095508113,0.0001220703125,***,0.5
