task,centre,lo,hi,sem,n_participants,excluded,missing_from_cache,source_npz
picture,0.167058,0.166883,0.167233,0.000175,6,RB,,panels_cache_picture_GloVe.npz
auditory,0.164296,0.161959,0.166633,0.002337,6,RB,,panels_cache_auditory_GloVe.npz
