region,ko_pic_pc,ko_aud_pc,jac_enrich,suff_pooled_pic,suff_pooled_aud,suff_adj_pooled_pic,suff_adj_pooled_aud,n_participants,mean_channels
pFus,0.01328787654020431,0.0052756776995689795,1.2185556994844737,0.23723542613839754,0.2160637114753394,0.09090460302858037,0.050122285797857005,4,3.75
pITG,0.003470012630557747,0.005620560032920651,1.180681020901196,0.19643748105201378,0.19326410390265508,0.042285846207244,0.02254291339175995,4,3.5
aFus,0.0025175236413596887,0.0018924688068765983,1.1455167689650596,0.2037584970646249,0.2019906951731768,0.044510196477549856,0.04238883420781217,6,3.3333333333333335
insula,0.0002582858691522805,0.00015266245101338159,1.0994957962535568,0.17471593846442002,0.18686840666137242,0.014304945714532282,0.017673290746647318,6,6.0
superior parietal,0.0017955640804014907,0.0016919909858072908,1.092640050404193,0.2063499085568863,0.2079125157950538,0.0476198902682636,0.0494950189540645,1,11.0
parahippocampal,0.0011497966658023208,0.0005275507842787403,1.066546436800492,0.18232286369215092,0.17406378458019686,0.0187874364305811,0.008876541496236266,6,3.1666666666666665
cingulate,0.0010157050952873219,0.0005202085099231854,1.0648538832765502,0.18260846281470733,0.172242508267415,0.019130155377648825,0.006691009920898025,4,4.25
aSTG,-0.0009053600549725624,0.0004251869467527185,1.0419548753962438,0.16331132404547374,0.20540717723189525,0.0007701286720460332,0.03999131280967027,6,4.5
supramarginal,0.0035093774755985065,0.0014946792444643483,1.0405688374835431,0.20818786074479245,0.19621513334471266,0.049825432893750965,0.0354581600136552,3,5.333333333333333
precuneus,0.00081373524232064,0.0008337231475535133,1.0201665507010955,0.1971869411746899,0.2020398018126935,0.0366243294096279,0.0424477621752322,1,15.0
angular,0.0003249631454113667,0.005694274495465092,1.0085067301542816,0.1615105772498554,0.21640884129194465,0.0079138280464741,0.0412234460469123,2,5.5
pMTG,0.0005037959169643646,0.0008333577340478912,1.0032403511797454,0.18472839129190818,0.18731149518150447,0.02615945961976375,0.018161581705515465,6,6.0
pSTG,4.271772702775002e-05,0.0024217480530347,0.9615063895547525,0.16653522475507765,0.1739459497266348,-0.00015773029390675003,0.0087351396719618,2,3.0
aITG,0.0006738788139906563,0.00172092717929282,0.9317734285688646,0.17105270027543565,0.18583299255418698,0.0093327909545237,0.017208044081551844,7,2.2857142857142856
entorhinal,-0.0004480698060474778,-0.0029498756688341892,0.8990212096128865,0.17319745232452563,0.1821539141256633,0.007836942789430833,0.018584696950796033,3,3.0
aMTG,6.24354206777566e-05,0.0006208895801278197,0.8680763804129904,0.16879791769700306,0.1921779420271079,0.0067116524651201145,0.024890597601256843,7,11.428571428571429
temporal pole,-2.4715883560107626e-05,-8.213171680660312e-05,0.7320260476233035,0.17425472262055675,0.1718475264378313,0.013901202266699384,-0.0005421914190906165,6,5.833333333333333
