variant,N,median_percentile_mean,median_percentile_sem,mean_percentile_mean,mean_percentile_sem,MRR_mean,MRR_sem,median_rank_mean,median_rank_sem,top1_mean,top1_sem,top5_mean,top5_sem,top10_mean,top10_sem,top50_mean,top50_sem,top100_mean,top100_sem
matched,200,0.2234375,0.01609082410989923,0.2999775146630199,0.013298012130239577,0.07841105905681335,0.0068676244455836795,44.6875,3.2181648219798453,0.023080569274941922,0.004680326546832616,0.10875542296680892,0.010268230728414027,0.17185661997389756,0.016638480907072043,0.5340393905983155,0.022979397814312026,0.7832669590161306,0.016063921278167626
matched,500,0.122,0.012283845372799885,0.18889537539816842,0.01646243661744102,0.07420178639319917,0.00846931818021494,61.0,6.141922686399942,0.025436035606762476,0.006043834808696464,0.09678030704266871,0.013876297371811674,0.15415566616911464,0.015751347031171228,0.4473517561980202,0.025684673928255325,0.674369155900435,0.027367656027240134
matched,1000,0.0796875,0.008424527063877234,0.14832387907677866,0.015038628502386717,0.06945382246363319,0.008158920320558209,79.6875,8.424527063877237,0.026081100627833954,0.006327484945250472,0.09555072252094816,0.015894159156411965,0.1453870753624168,0.017260503120195978,0.41024267173304463,0.025629831856153567,0.5800125936959678,0.02678178833498948
matched,2000,0.05509375,0.005482508203856803,0.1235574472552288,0.012324657333997926,0.0647642432789109,0.007972883507091327,110.1875,10.965016407713605,0.023057205803635628,0.006702055950435855,0.09248406683928098,0.01665480360165759,0.13540147755754497,0.017031736801566614,0.34302371563919565,0.021068289384611617,0.4810217484743839,0.024649078247089493
matched,5000,0.0352375,0.005074760286386513,0.10243844462542605,0.010337535941967915,0.05760440508945174,0.007909068348904917,176.1875,25.373801431932563,0.0223614560124911,0.005824834031977371,0.08009779241256697,0.010188888698998963,0.11684647572512227,0.015209486184690939,0.2820200512192312,0.02367443505352584,0.38671919968387175,0.0315976443915834
raw,200,0.224375,0.02373001979109403,0.2989826601633027,0.016095035496556245,0.07671780040968842,0.0075710010197791635,44.875,4.746003958218806,0.022517506211878858,0.004874586980729087,0.10288612556790626,0.013610662653221983,0.16301931470982034,0.015136779089866628,0.5230138137935387,0.02799360967049732,0.7812314092631305,0.020099269712803066
raw,500,0.11975,0.012782172294701263,0.1799742377459926,0.01854605881289968,0.07244032009022744,0.009071605155601313,59.875,6.391086147350632,0.02364923972557832,0.006260409063454786,0.09811571779588768,0.014805653521273018,0.1522478427734877,0.015788757660553578,0.4533851280722208,0.02896551245382536,0.6975227074766513,0.034793237298398505
raw,1000,0.074125,0.008282269142140766,0.1425531832746284,0.01677555758730348,0.06980362015498867,0.007897000441747515,74.125,8.282269142140766,0.023997688670236546,0.00482185876452416,0.09007936206050765,0.01720608583797636,0.15123281416856185,0.015649740837780188,0.42481827816494744,0.02705707956383898,0.6074671244561389,0.028142885807665646
raw,2000,0.0555625,0.006554501928881728,0.12434118560484027,0.014065924373319853,0.06419488668238812,0.00804202947334736,111.125,13.109003857763456,0.02391337018719727,0.006584929130412234,0.09197381933124148,0.01637194638451452,0.13704581811647928,0.01789025990805124,0.3482916362854057,0.019843822252839392,0.4825246480955095,0.02612483943539407
raw,5000,0.0384125,0.00585407176672784,0.10643511732405989,0.01093152308332165,0.05766282862784177,0.008365002570827793,192.0625,29.270358833639193,0.0223614560124911,0.005824834031977371,0.07636034992613094,0.011292916953114213,0.11787822867065444,0.017314999733119375,0.2776613260557115,0.024813029458403926,0.38665260780431787,0.029371015199898595
