k,chance,topk_mean,wilcoxon_p,sig
1,0.0002,0.037765667733167516,0.015625,*
5,0.001,0.11516126445895125,0.015625,*
10,0.002,0.17425105203335647,0.015625,*
50,0.01,0.38881920025158917,0.015625,*
100,0.02,0.5154339549586286,0.015625,*
