word,freq_rank,log_freq,concreteness,is_stimulus,pos
example,549,-2.7403626894942437,,False,noun
four,550,-2.741151598851785,,False,noun
community,551,-2.741939077729199,,False,noun
review,555,-2.7450747915820575,,False,noun
million,557,-2.7466341989375787,,False,noun
idea,558,-2.747411807886423,,False,noun
access,560,-2.7489628612561616,,False,noun
contact,563,-2.751279103983342,,False,noun
men,566,-2.7535830588929064,,False,noun
value,572,-2.75815462196739,,False,noun
phone,574,-2.7596678446896306,,False,noun
email,576,-2.7611758131557314,,False,noun
nothing,578,-2.762678563727436,,False,noun
current,584,-2.7671558660821804,,False,noun
research,589,-2.7708520116421442,,False,noun
mind,590,-2.7715874808812555,,False,noun
question,591,-2.77232170672292,,False,noun
young,597,-2.776701183988411,,False,noun
development,602,-2.780317312140151,,False,noun
movie,603,-2.7810369386211318,,False,noun
internet,604,-2.781755374652469,,False,noun
link,607,-2.783903579272735,,False,noun
version,611,-2.7867514221455614,,False,noun
article,612,-2.787460474518415,,False,noun
event,613,-2.788168371141168,,False,noun
size,617,-2.790988475088816,,False,noun
west,618,-2.791690649020118,,False,noun
word,620,-2.79309160017658,,False,noun
face,621,-2.7937903846908188,,False,noun
feature,623,-2.795184589682424,,False,noun
history,630,-2.8000293592441343,,False,noun
tag,631,-2.800717078282385,,False,noun
series,633,-2.802089257881733,,False,noun
america,634,-2.8027737252919755,,False,noun
cost,637,-2.8048206787211623,,False,noun
song,644,-2.8095597146352675,,False,noun
front,646,-2.8109042806687006,,False,noun
class,653,-2.815577748324267,,False,noun
law,655,-2.8169038393756605,,False,noun
sex,658,-2.8188854145940097,,False,noun
share,659,-2.8195439355418688,,False,noun
film,667,-2.824776462475546,,False,noun
window,670,-2.826722520168992,,False,noun
reply,673,-2.82865989653532,,False,noun
reason,674,-2.829303772831025,,False,noun
detail,676,-2.8305886686851442,,False,noun
party,678,-2.8318697742805017,,False,noun
card,684,-2.8356905714924254,,False,noun
range,685,-2.8363241157067516,,False,noun
report,686,-2.8369567370595505,,False,noun
sale,687,-2.837588438235511,,False,noun
property,690,-2.8394780473741985,,False,noun
hotel,695,-2.842609239610562,,False,noun
issue,698,-2.8444771757456815,,False,noun
heart,703,-2.847572659142112,,False,noun
computer,704,-2.848189116991399,,False,noun
office,705,-2.8488047010518036,,False,noun
kid,707,-2.850033257689769,,False,noun
stop,709,-2.8512583487190755,,False,noun
english,711,-2.8524799936368566,,False,noun
friday,713,-2.8536982117761744,,False,noun
art,716,-2.8555191556678,,False,noun
management,721,-2.858537197569639,,False,noun
content,723,-2.859738566197147,,False,noun
mile,728,-2.8627275283179747,,False,noun
