variant,N,median_percentile_mean,median_percentile_sem,mean_percentile_mean,mean_percentile_sem,MRR_mean,MRR_sem,median_rank_mean,median_rank_sem,top1_mean,top1_sem,top5_mean,top5_sem,top10_mean,top10_sem,top50_mean,top50_sem,top100_mean,top100_sem
matched,200,0.16857142857142857,0.018794448449396085,0.22910339404607044,0.02214213166897778,0.10129481351233728,0.011629528103124556,33.714285714285715,3.758889689879217,0.035069355902000623,0.0072991772284928666,0.12630804897598638,0.016544432594008816,0.22718146325289168,0.024128783059543416,0.6452524018680992,0.03737613283949261,0.8808589059689267,0.0297928426976826
matched,500,0.08371428571428571,0.011599906168984805,0.14209586612688183,0.021395566502470403,0.09185538776960975,0.01113862191309525,41.857142857142854,5.799953084492402,0.03111828936584063,0.007437660603982644,0.117617673774421,0.01628688597039269,0.20354146121524738,0.02415100619786729,0.5852152839460099,0.036410406854618306,0.7852043625206456,0.044216581614188316
matched,1000,0.05657142857142857,0.0103621498570453,0.11837622629684315,0.021703128801121453,0.08555264429780947,0.010967986671644793,56.57142857142857,10.362149857045301,0.028962637648416605,0.00744740579736179,0.11105035239965355,0.015559943253678042,0.18658171556792094,0.021492536178306695,0.5087108913781613,0.031067400801990254,0.6794925464304085,0.04718287300683848
matched,2000,0.041285714285714294,0.008538328948013763,0.10238983918285456,0.020263976681202073,0.07883723169377523,0.010708904467453753,82.57142857142857,17.076657896027523,0.029265650166454965,0.007119359627470407,0.10535748554255239,0.015215553659116681,0.1684177380306216,0.01698225652311161,0.42770985094804687,0.033696869023985096,0.5745173719583282,0.03916736344683233
matched,5000,0.02694285714285714,0.006409177093855977,0.0831652183038818,0.018102580263164397,0.07327950635484506,0.009895337309626731,134.71428571428572,32.04588546927989,0.030863624697073204,0.005073376848580742,0.09872388387843382,0.015252999908569362,0.1495475099811461,0.0184878162812291,0.34537488702982466,0.03463456702735618,0.47343716079296044,0.04027507546017466
raw,200,0.17142857142857143,0.02011024039407493,0.22189982862163862,0.022634581160078656,0.10019609310093756,0.011407251028251795,34.285714285714285,4.0220480788149855,0.033092285215497265,0.007145785586693575,0.12596632507682026,0.016930962615413242,0.22404095481331482,0.02397688709498994,0.6488569335785666,0.03945959220023976,0.8950680463257702,0.031643196951025916
raw,500,0.08142857142857143,0.01049003414324904,0.13587147331603364,0.021299811392197207,0.09085992182709593,0.011490590291186771,40.714285714285715,5.24501707162452,0.02906182749980853,0.007678429484977204,0.11700210513478751,0.016616713982228245,0.20048767330568001,0.021175944669540876,0.597801281987352,0.038305911857480834,0.8011670709427874,0.04638716910815661
raw,1000,0.054214285714285715,0.010474377548762199,0.11479143024791126,0.02199572779677353,0.08697535574703881,0.010647498429873207,54.214285714285715,10.4743775487622,0.02946151671026268,0.007119006586707849,0.11272436483856084,0.014633823737225158,0.19096374801459673,0.022333239173833706,0.5284775794823139,0.032464731741170656,0.696785762451651,0.04799349127028892
raw,2000,0.040035714285714286,0.008659984014376221,0.10213930459401475,0.02083953620775379,0.07948011474831194,0.010386391840229088,80.07142857142857,17.319968028752445,0.028275090701827172,0.006746679138971961,0.10644732697117353,0.015190659896908232,0.1707792102422785,0.017863270395287414,0.44167749969049525,0.03394816622272869,0.58119190367838,0.041075213802706866
raw,5000,0.02825714285714286,0.007109981486241288,0.08567983865278526,0.018851438424494348,0.07262990216697911,0.010004818679975333,141.28571428571428,35.54990743120644,0.030140574109600315,0.005208439720019237,0.09755093230659694,0.015638339151124888,0.15094155824176309,0.018296067317610618,0.34374048620775316,0.03394921151548747,0.47224469366056543,0.04097764837167973
