k,chance,topk_mean,wilcoxon_p,sig
1,0.0002,0.019497300299675273,0.0078125,**
5,0.001,0.07220798606450549,0.0078125,**
10,0.002,0.1200313671091779,0.0078125,**
50,0.01,0.2790635886173665,0.0078125,**
100,0.02,0.4052945796984189,0.0078125,**
