N,variant,median_percentile_mean,median_percentile_sem,wilcoxon_p_vs_chance,sig,chance_median_percentile
200,matched,0.20291666666666663,0.012786983398927382,0.015625,*,0.5
500,matched,0.102,0.010266450214168478,0.015625,*,0.5
1000,matched,0.06333333333333331,0.0064234812299181635,0.015625,*,0.5
2000,matched,0.04841666666666666,0.005271648487691283,0.015625,*,0.5
5000,matched,0.030050000000000004,0.003765788983289779,0.015625,*,0.5
