task,cue,mean_s,std_s
picture,go_cue,1.9331104280785716,1.3293723979396532
picture,voice_onset,2.559596737242713,1.472372824770008
picture,voice_offset,3.400851882324163,1.3938090959633096
auditory,trial_onset,-0.12973332067445664,0.06154159242504812
auditory,aud_stim_offset,3.579999999999999,6.713997766802521e-16
auditory,go_cue,5.805983887078601,2.2074737742693404
