task,metric,label,n_total,n_sig,peak_acc_mean,peak_acc_sem,emp_chance,peak_bin_time_s,peak_time_mean_s,peak_time_sd_s,rise_time_mean_s,rise_time_sd_s
picture,category_indep,Category accuracy,15,15,0.29625949760278064,0.014738859224838046,0.15886646409829458,1.1,1.16,0.07367883976130069,0.8533333333333334,0.13020130933435717
picture,word_top1,Word top-1 accuracy,15,12,0.0385801504055659,0.004756636687818176,0.013700014973680178,1.1,1.1916666666666667,0.10836246694508317,0.9583333333333335,0.19286515936521476
picture,word_top3,Word top-3 accuracy,15,13,0.104544148594141,0.011396889363171969,0.04322008416056633,1.2,1.169230769230769,0.09473309334313418,0.8538461538461539,0.10500305245868345
picture,word_top5,Word top-5 accuracy,15,13,0.1652597203850746,0.015868197073096765,0.0738255299627781,1.2,1.1615384615384614,0.09607689228305227,0.8153846153846155,0.08006407690254358
auditory,category_indep,Category accuracy,10,4,0.2274041950702667,0.010637361823832278,0.16715041249990464,3.1,3.5749999999999997,1.276388133236386,1.65,0.903696114115064
auditory,word_top1,Word top-1 accuracy,10,10,0.016102062835125254,0.004485780732082671,0.006886293087154627,1.8,2.58,1.8837315213279318,1.61,1.3535549900580734
auditory,word_top3,Word top-3 accuracy,10,7,0.0442649464122951,0.009081802578177428,0.024310641409829258,3.9,3.1428571428571423,1.6338677454199924,2.057142857142857,1.670186758875728
auditory,word_top5,Word top-5 accuracy,10,6,0.07864249348640442,0.012397862287934165,0.045976861473172904,2.9,3.366666666666667,0.8846845012017936,2.0500000000000003,1.0784247771634328
