task,k,n,unif_mean,unif_sem,wcat_mean,wcat_sem,obs_mean,obs_sem,excess_mean,excess_sem,p_wilcoxon,p_holm,n_tests,stars,shipped
picture_naming,1,14,0.01655575902953637,0.0005261815479666306,0.02873970995158002,0.002170803166847312,0.04438688859809289,0.006327426925298588,0.01564717864651287,0.004381056765868503,0.00201416015625,0.00604248046875,3,**,True
picture_naming,3,14,0.049687106723984596,0.0015715340883116844,0.0856141785508764,0.006061539808056257,0.1107203913605105,0.013480229619872598,0.02510621280963411,0.007807387335477438,0.0067138671875,0.0067138671875,3,**,True
picture_naming,5,14,0.0827851138469767,0.002620573717415184,0.1402131887096143,0.00978048049252845,0.17711541985240425,0.01937425621658106,0.03690223114278995,0.00991491302013334,0.00201416015625,0.00604248046875,3,**,True
