model,GloVe,Word2Vec,DINOv3,MoCo
GloVe,1.0,0.7239386021136304,0.19472178424515874,0.16836630035118264
Word2Vec,0.7239386021136304,1.0,0.19502058630498603,0.21100195963773014
DINOv3,0.19472178424515874,0.19502058630498603,1.0,0.48823062449497917
MoCo,0.16836630035118264,0.21100195963773014,0.48823062449497917,1.0
