model_family,layer_idx,cat_bal_acc_mean,cat_bal_acc_sem,cat_bal_acc_count,word_bal_acc_mean,word_bal_acc_sem,word_bal_acc_count
DINOv3,0,0.16091269841269837,0.0009343630980217291,120,0.018969286692032284,0.00047349961022293815,120
DINOv3,1,0.22308537324929542,0.004868766825623804,120,0.03291236464343938,0.0017147773865746493,120
DINOv3,2,0.24362629426745488,0.005324859827148407,120,0.034639964471861,0.0017415107220374627,120
DINOv3,3,0.25498894855568704,0.004964390028798266,120,0.036058878314329225,0.0017966675957759393,120
DINOv3,4,0.257419357249209,0.005474615562878542,120,0.03956011757199474,0.001994563470995979,120
DINOv3,5,0.25400120807941906,0.006322672327002942,120,0.04041391406441958,0.0021469129982810606,120
DINOv3,6,0.24859794249114114,0.005241489395388717,120,0.04044649775998808,0.002302694259271715,120
DINOv3,7,0.2610666670284861,0.005527072043959664,120,0.04058671558385105,0.002216772151580249,120
DINOv3,8,0.27198155414522807,0.005984279665807529,120,0.04358374613687382,0.0025058293567204112,120
DINOv3,9,0.2834652773393751,0.006332350427841734,120,0.044105692283563966,0.0026008569521463435,120
DINOv3,10,0.287376462357905,0.006084485145137001,120,0.046546795993126736,0.00284187028074872,120
DINOv3,11,0.2896248587839087,0.006088883505341697,120,0.04627895997462341,0.0020710101921950527,120
DINOv3,12,0.2629081022162836,0.005861563030246648,120,0.04328110532210813,0.0022382415638767168,120
MoCo,0,0.2257384386247238,0.004831307943729033,120,0.03402408676605848,0.0017614525193355426,120
MoCo,1,0.23960854435435755,0.005229855644664851,120,0.03539464666174344,0.001975729106249391,120
MoCo,2,0.25687881733388823,0.0056519939608421915,120,0.04146051764441366,0.002398021086643185,120
MoCo,3,0.27905756869464987,0.006291058046900011,120,0.04624840282163825,0.0025939016207574338,120
MoCo,4,0.2823575393968702,0.006128793120860741,120,0.045541266050213296,0.0022169563699460074,120
