model,GloVe,Word2Vec,DINOv3,MoCo
GloVe,1.0,0.734929978143861,0.3069697675158266,0.4360501372960339
Word2Vec,0.734929978143861,1.0,0.28514303635072225,0.43905320046890073
DINOv3,0.3069697675158266,0.28514303635072225,1.0,0.5120869838545746
MoCo,0.4360501372960339,0.43905320046890073,0.5120869838545746,1.0
